time	V(c1)	V(n001)	V(in)	V(s)	V(c2)	V(n002)	Ic(Q1)	Ib(Q1)	Ie(Q1)	Ic(Q2)	Ib(Q2)	Ie(Q2)	I(D1)	I(L1)	I(L2)	I(R1)	I(R2)	I(V1)	I(V2)
6.142231072003554e-02	5.000000e+00	5.003369e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003994e-11	5.012287e-12	-5.003366e-12	-1.049990e-14	5.013767e-12	-5.003005e-12	-1.050015e-14	3.289160e-14	5.013843e-12	5.009833e-12	-5.003369e-12	-5.003994e-12	1.000637e-11	-1.004007e-11
6.244631072003656e-02	5.000000e+00	5.003653e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.007093e-11	5.013767e-12	-5.003799e-12	-1.050044e-14	5.018208e-12	-5.007587e-12	-1.050117e-14	1.973496e-13	5.014267e-12	5.162014e-12	-5.003653e-12	-5.007093e-12	1.001139e-11	-9.964303e-12
6.347031072003759e-02	5.000000e+00	5.003104e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.000797e-11	5.013767e-12	-5.003105e-12	-1.049933e-14	5.011547e-12	-5.001177e-12	-1.050044e-14	-1.315664e-13	5.014175e-12	4.833418e-12	-5.003104e-12	-5.000797e-12	1.000428e-11	-9.955011e-12
6.449431072003861e-02	5.000000e+00	5.003344e-11	0.000000e+00	5.000000e+00	5.000000e+00	4.999955e-11	5.012287e-12	-5.003344e-12	-1.050004e-14	5.009326e-12	-4.999352e-12	-1.049935e-14	-2.302412e-13	5.013815e-12	4.796279e-12	-5.003344e-12	-4.999954e-12	1.000270e-11	-1.000853e-11
6.551831072003964e-02	5.000000e+00	5.003374e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003059e-11	5.012287e-12	-5.003373e-12	-1.050006e-14	5.015247e-12	-5.004316e-12	-1.050143e-14	3.289160e-14	5.013844e-12	5.023935e-12	-5.003374e-12	-5.003059e-12	1.000769e-11	-9.988774e-12
6.654231072004066e-02	5.000000e+00	5.003191e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.005320e-11	5.013027e-12	-5.003188e-12	-1.049923e-14	5.014507e-12	-5.004506e-12	-1.049833e-14	9.867479e-14	5.014263e-12	5.055661e-12	-5.003191e-12	-5.005320e-12	1.000769e-11	-1.001157e-11
6.756631072004168e-02	5.000000e+00	5.003357e-11	0.000000e+00	5.000000e+00	5.000000e+00	4.997344e-11	5.012287e-12	-5.003357e-12	-1.050005e-14	5.007846e-12	-4.997412e-12	-1.049983e-14	-3.289160e-13	5.013827e-12	4.675499e-12	-5.003357e-12	-4.997344e-12	1.000077e-11	-9.984386e-12
6.859031072004271e-02	5.000000e+00	5.003300e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.001771e-11	5.012287e-12	-5.003302e-12	-1.050011e-14	5.011547e-12	-5.001752e-12	-1.050034e-14	-1.315664e-13	5.013770e-12	4.844999e-12	-5.003300e-12	-5.001771e-12	1.000505e-11	-9.937546e-12
6.961431072004373e-02	5.000000e+00	5.003176e-11	0.000000e+00	5.000000e+00	5.000000e+00	4.999718e-11	5.013027e-12	-5.003260e-12	-1.050006e-14	5.012287e-12	-5.001174e-12	-1.050405e-14	-1.315664e-13	5.013754e-12	4.826554e-12	-5.003176e-12	-4.999718e-12	1.000443e-11	-9.947673e-12
7.063831072004476e-02	5.000000e+00	5.003507e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.005020e-11	5.012287e-12	-5.003655e-12	-1.050028e-14	5.014507e-12	-5.004313e-12	-1.049900e-14	9.867479e-14	5.014122e-12	5.057972e-12	-5.003507e-12	-5.005020e-12	1.000797e-11	-1.002332e-11
7.166231072004578e-02	5.000000e+00	5.003252e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.002996e-11	5.013027e-12	-5.003248e-12	-1.049937e-14	5.015247e-12	-5.004374e-12	-1.050247e-14	-3.289160e-14	5.014320e-12	4.956563e-12	-5.003252e-12	-5.002996e-12	1.000762e-11	-9.918913e-12
7.268631072004680e-02	5.000000e+00	5.003096e-11	0.000000e+00	5.000000e+00	5.000000e+00	4.999218e-11	5.013027e-12	-5.003192e-12	-1.050044e-14	5.010807e-12	-5.000339e-12	-1.049972e-14	-1.973496e-13	5.013626e-12	4.815505e-12	-5.003096e-12	-4.999218e-12	1.000353e-11	-9.978342e-12
7.371031072004783e-02	5.000000e+00	5.003103e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003314e-11	5.013027e-12	-5.003047e-12	-1.050055e-14	5.013027e-12	-5.002664e-12	-1.049851e-14	-3.289160e-14	5.014582e-12	4.959349e-12	-5.003103e-12	-5.003314e-12	1.000571e-11	-1.000736e-11
